"ID","Source","Severity","Start_Time","End_Time","Start_Lat","Start_Lng","End_Lat","End_Lng","Distance.mi.","Description","Street","City","County","State","Zipcode","Country","Timezone","Airport_Code","Weather_Timestamp","Temperature.F.","Wind_Chill.F.","Humidity...","Pressure.in.","Visibility.mi.","Wind_Direction","Wind_Speed.mph.","Precipitation.in.","Weather_Condition","Amenity","Bump","Crossing","Give_Way","Junction","No_Exit","Railway","Roundabout","Station","Stop","Traffic_Calming","Traffic_Signal","Turning_Loop","Sunrise_Sunset","Civil_Twilight","Nautical_Twilight","Astronomical_Twilight"
"A-623473","Source2",1,"2022-05-13 08:31:39","2022-05-13 09:01:22",33.46579,-111.896187,NA,NA,0,"Crash on 87th St at Mcdowell Rd.","E McDowell Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2022-05-13 08:51:00",70,70,14,28.78,10,"ESE",6,0,"Fair","True","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-628217","Source2",1,"2022-05-04 17:25:57","2022-05-04 18:59:22",33.451271,-111.909302,NA,NA,0,"Crash on Hayden Rd at Mcclintock Dr.","E McKellips Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2022-05-04 17:51:00",90,90,6,28.58,10,"W",8,0,"Fair","False","False","False","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-660134","Source2",2,"2022-04-06 06:59:45","2022-04-06 07:45:32",33.46582,-111.908867,NA,NA,0,"Crash on Hayden Rd at Mcdowell Rd.","N Hayden Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2022-04-06 06:51:00",66,66,37,28.72,10,"CALM",0,0,"Fair","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-698862","Source2",2,"2022-02-24 05:18:08","2022-02-24 05:47:30",33.4659,-111.91111,NA,NA,0,"Crash on Mcdowell Rd at 79th St.","N 79th St","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2022-02-24 04:51:00",39,36,93,28.92,10,"E",5,0,"Fair","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"A-771262","Source2",2,"2021-12-20 08:35:17","2021-12-20 09:04:52",33.480209,-111.943192,NA,NA,0,"Accident on 64th St at Thomas Rd.","E Thomas Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2021-12-20 08:51:00",53,53,41,28.99,10,"SE",7,0,"Fair","False","False","True","False","False","False","False","False","True","False","False","True","False","Day","Day","Day","Day"
"A-782299","Source2",2,"2021-12-13 12:43:38","2021-12-13 13:13:26",33.480209,-111.943192,NA,NA,0,"Main roadway closed due to accident on Thomas Rd both ways at 64th St.","E Thomas Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2021-12-13 12:51:00",68,68,33,28.87,10,"VAR",3,0,"Mostly Cloudy","False","False","True","False","False","False","False","False","True","False","False","True","False","Day","Day","Day","Day"
"A-824513","Source2",2,"2021-11-11 07:40:23","2021-11-11 08:39:56",33.465889,-111.912277,NA,NA,0,"Accident on Mcdowell Rd near 79th St.","E McDowell Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2021-11-11 07:51:00",62,62,43,28.89,10,"CALM",0,0,"Fair","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-896625","Source2",2,"2021-09-16 16:53:52","2021-09-16 17:39:22",33.465801,-111.917526,NA,NA,0,"Accident on Mcdowell Rd at Miller Rd.","N Miller Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2021-09-16 16:51:00",103,103,14,28.51,10,"N",9,0,"Fair","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1023180","Source2",2,"2021-06-01 10:08:04","2021-06-01 10:37:47",33.465744,-111.926224,NA,NA,0,"Main roadway closed due to accident on Scottsdale Rd both ways at Mcdowell Rd.","N Scottsdale Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2021-06-01 09:51:00",87,87,18,28.76,10,"VAR",5,0,"Fair","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1045781","Source2",2,"2021-05-14 08:46:03","2021-05-14 09:18:01",33.480381,-111.903008,NA,NA,0,"Accident on 83rd St at Thomas Rd.","E Thomas Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2021-05-14 08:51:00",80,80,13,28.71,10,"E",8,0,"Fair","False","False","True","False","False","False","False","False","False","True","False","False","False","Day","Day","Day","Day"
"A-1061864","Source2",2,"2021-05-03 06:49:04","2021-05-03 07:20:48",33.458481,-111.926353,NA,NA,0,"Accident on Roosevelt St at Scottsdale Rd.","E Continental Dr","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2021-05-03 06:51:00",67,67,31,28.47,10,"E",8,0,"Fair","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1122121","Source2",2,"2021-03-12 15:39:31","2021-03-12 16:09:11",33.465805,-111.914597,NA,NA,0,"Accident on 77th St at Mcdowell Rd.","N 77th St","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2021-03-12 15:51:00",55,55,47,28.84,10,"SE",9,0,"Mostly Cloudy","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1134457","Source2",2,"2021-03-02 08:01:05","2021-03-02 09:46:37",33.465759,-111.900726,NA,NA,0,"Accident on Granite Reef Rd at Mcdowell Rd.","E McDowell Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2021-03-02 07:51:00",56,56,27,28.83,10,"ESE",6,0,"Fair","False","False","False","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1149892","Source2",2,"2021-02-17 16:43:29","2021-02-17 17:43:04",33.465759,-111.900726,NA,NA,0,"Accident pedestrian involved on Granite Reef Rd at Mcdowell Rd.","E McDowell Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2021-02-17 16:51:00",65,65,13,28.61,10,"W",29,0,"Partly Cloudy / Windy","False","False","False","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1213464","Source2",2,"2020-12-28 06:44:15","2020-12-28 08:35:30",33.480209,-111.943192,NA,NA,0,"Restrictions due to accident on Thomas Rd both ways at 64th St.","E Thomas Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-12-28 06:51:00",51,51,50,28.59,10,"CALM",0,0,"Fair","False","False","True","False","False","False","False","False","True","False","False","True","False","Night","Night","Day","Day"
"A-1225643","Source2",2,"2020-12-17 10:46:46","2020-12-17 12:39:30",33.46582,-111.908867,NA,NA,0,"Accident on Hayden Rd near Mcdowell Rd.","N Hayden Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-12-17 10:51:00",58,58,26,28.82,10,"E",3,0,"Mostly Cloudy","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1238678","Source2",2,"2020-12-08 18:00:08","2020-12-08 19:24:35",33.465744,-111.926224,NA,NA,0,"Accident on Mcdowell Rd at Scottsdale Rd.","N Scottsdale Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-12-08 17:51:00",73,73,11,28.89,10,"ENE",6,0,"Partly Cloudy","False","False","True","False","False","False","False","False","False","False","False","True","False","Night","Night","Day","Day"
"A-1265096","Source2",2,"2020-11-16 09:07:25","2020-11-16 10:08:00",33.451271,-111.909302,NA,NA,0,"Two lanes blocked due to accident on Mcclintock Dr Northbound at Hayden Rd.","E McKellips Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-11-16 08:51:00",64,64,26,28.94,10,"CALM",0,0,"Fair","False","False","False","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1267967","Source2",2,"2020-11-13 09:00:10","2020-11-13 10:45:13",33.465801,-111.917526,NA,NA,0,"Accident on Mcdowell Rd at Miller Rd.","N Miller Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-11-13 08:51:00",56,56,33,28.88,10,"ENE",5,0,"Fair","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1284275","Source2",2,"2020-11-03 12:47:39","2020-11-03 16:34:32",33.465744,-111.926224,NA,NA,0,"Main roadway closed due to accident on Scottsdale Rd both ways at Mcdowell Rd.","N Scottsdale Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-11-03 12:51:00",89,89,15,28.76,10,"SSE",6,0,"Mostly Cloudy","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1336938","Source2",2,"2020-10-12 14:41:41","2020-10-12 15:11:33",33.458481,-111.926353,NA,NA,0,"Accident on Roosevelt St at Scottsdale Rd.","E Continental Dr","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-10-12 14:51:00",95,95,12,28.73,10,"CALM",0,0,"Fair","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1451511","Source2",2,"2020-05-28 17:19:46","2020-05-28 18:19:37",33.465805,-111.914597,NA,NA,0,"Accident on 77th St at Mcdowell Rd.","N 77th St","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-05-28 16:51:00",108,108,7,28.59,10,"WNW",15,0,"Fair","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1471327","Source2",2,"2020-05-15 09:44:32","2020-05-15 10:53:10",33.451271,-111.909302,NA,NA,0,"Restrictions due to accident on Hayden Rd both ways near Mcclintock Dr.","E McKellips Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-05-15 09:51:00",79,79,26,28.66,10,"CALM",0,0,"Partly Cloudy","False","False","False","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1477768","Source2",2,"2020-05-21 12:09:24","2020-05-21 13:09:18",33.480202,-111.904114,NA,NA,0,"Accident on Thomas Rd at 82nd St.","E Thomas Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-05-21 11:51:00",84,84,11,28.7,10,"VAR",7,0,"Fair","False","False","False","False","False","False","False","False","False","True","False","False","False","Day","Day","Day","Day"
"A-1479285","Source2",2,"2020-05-22 17:18:17","2020-05-22 17:48:07",33.473068,-111.926193,NA,NA,0,"Accident on Oak St at Scottsdale Rd.","E Oak St","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-05-22 16:51:00",93,93,9,28.52,10,"NW",3,0,"Partly Cloudy","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1482538","Source2",2,"2020-06-19 07:20:52","2020-06-19 08:07:09",33.47303,-111.930481,NA,NA,0,"Accident on 70th St at Oak St.","N 70th St","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-06-19 06:51:00",76,76,22,28.63,10,"E",9,0,"Fair","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-1493753","Source2",2,"2020-06-29 13:55:19","2020-06-29 14:40:19",33.451271,-111.909302,NA,NA,0,"Accident on Mcclintock Dr at Mckellips Rd.","E McKellips Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-06-29 13:51:00",96,96,15,28.52,10,"CALM",0,0,"Fair","False","False","False","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1502932","Source2",2,"2020-06-11 09:30:08","2020-06-11 10:14:50",33.465759,-111.900726,NA,NA,0,"Accident on Granite Reef Rd near Mcdowell Rd.","E McDowell Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-06-11 09:51:00",89,89,11,28.76,10,"E",6,0,"Fair","False","False","False","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1504402","Source2",2,"2020-06-12 16:57:03","2020-06-12 18:07:05",33.46582,-111.908867,NA,NA,0,"Accident on Hayden Rd at Mcdowell Rd.","N Hayden Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-06-12 16:51:00",107,107,8,28.62,10,"NW",8,0,"Fair","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1552535","Source2",2,"2020-04-11 19:36:40","2020-04-11 20:21:27",33.46582,-111.908867,NA,NA,0,"Accident on Hayden Rd at Mcdowell Rd.","N Hayden Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-04-11 19:51:00",64,64,45,28.66,10,"SSE",8,0,"Mostly Cloudy","False","False","True","False","False","False","False","False","False","False","False","True","False","Night","Night","Day","Day"
"A-1560600","Source3",2,"2020-04-20 16:36:35","2020-04-20 18:28:23",33.46582,-111.908867,NA,NA,0,"Accident on Hayden Rd at Mcdowell Rd.","N Hayden Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-04-20 16:51:00",85,85,14,28.66,10,"W",9,0,"Fair","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1562790","Source2",2,"2020-04-22 10:20:38","2020-04-22 11:47:37",33.46582,-111.908867,NA,NA,0,"Accident on Hayden Rd at Mcdowell Rd.","N Hayden Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-04-22 09:51:00",70,70,39,28.81,10,"WNW",3,0,"Fair","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1610962","Source2",2,"2020-01-23 09:06:37","2020-01-23 09:36:27",33.465801,-111.917526,NA,NA,0,"Accident on Mcdowell Rd at Miller Rd.","N Miller Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-01-23 08:51:00",51,51,80,28.94,10,"CALM",0,0,"Fair","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1610968","Source2",2,"2020-01-23 09:30:31","2020-01-23 10:15:54",33.465801,-111.917526,NA,NA,0,"Accident on Mcdowell Rd at Miller Rd.","N Miller Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-01-23 09:51:00",54,54,69,28.96,10,"E",8,0,"Fair","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1611044","Source2",2,"2020-01-24 09:17:21","2020-01-24 09:47:10",33.46582,-111.908867,NA,NA,0,"Accident on Hayden Rd at Mcdowell Rd.","N Hayden Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-01-24 08:51:00",54,54,55,28.82,10,"ESE",6,0,"Mostly Cloudy","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1623153","Source2",2,"2020-01-31 16:25:05","2020-01-31 17:39:52",33.480209,-111.943192,NA,NA,0,"Accident on 64th St at Thomas Rd.","E Thomas Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-01-31 16:51:00",72,72,13,28.97,10,"SW",8,0,"Partly Cloudy","False","False","True","False","False","False","False","False","True","False","False","True","False","Day","Day","Day","Day"
"A-1642833","Source2",2,"2020-02-11 17:10:00","2020-02-11 18:41:59",33.465744,-111.926224,NA,NA,0,"Accident on Mcdowell Rd at Scottsdale Rd.","N Scottsdale Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-02-11 16:51:00",60,60,36,28.73,10,"NNE",5,0,"Partly Cloudy","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1647555","Source2",2,"2020-02-13 07:19:35","2020-02-13 08:19:43",33.473068,-111.926193,NA,NA,0,"Accident on Oak St at Scottsdale Rd.","E Oak St","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2020-02-13 06:51:00",45,43,74,28.88,10,"ESE",5,0,"Fair","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1681259","Source2",2,"2019-12-27 07:25:09","2019-12-27 08:09:57",33.46582,-111.908867,NA,NA,0,"Accident on Hayden Rd at Mcdowell Rd.","N Hayden Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2019-12-27 07:51:00",48,45,83,28.63,10,"E",7,0,"Cloudy","False","False","True","False","False","False","False","False","False","False","False","True","False","Night","Day","Day","Day"
"A-1694874","Source2",2,"2019-12-04 08:54:53","2019-12-04 09:24:43",33.458481,-111.926353,NA,NA,0,"Accident on Scottsdale Rd near Roosevelt St.","E Continental Dr","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2019-12-04 08:51:00",59,59,72,28.82,10,"CALM",0,0,"Mostly Cloudy","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1704551","Source2",2,"2019-12-09 07:56:22","2019-12-09 08:26:03",33.451271,-111.909302,NA,NA,0,"Accident on Hayden Rd at Mckellips Rd.","E McKellips Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2019-12-09 07:51:00",56,56,93,28.72,2,"W",5,0,"Fog","False","False","False","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1715607","Source2",2,"2019-12-13 17:16:18","2019-12-13 18:31:03",33.465801,-111.917526,NA,NA,0,"Accident on Mcdowell Rd at Miller Rd.","N Miller Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2019-12-13 16:51:00",68,68,36,28.8,10,"WSW",3,0,"Fair","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1736575","Source2",2,"2019-10-06 10:43:14","2019-10-06 11:46:34",33.46582,-111.908867,NA,NA,0,"Accident on Hayden Rd at Mcdowell Rd.","N Hayden Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2019-10-06 10:51:00",82,82,19,28.84,10,"E",10,0,"Mostly Cloudy","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1768376","Source2",2,"2019-10-21 18:58:08","2019-10-21 20:12:54",33.465801,-111.917526,NA,NA,0,"Accident on Mcdowell Rd at Miller Rd.","N Miller Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2019-10-21 18:51:00",83,83,11,28.75,10,"WSW",7,0,"Mostly Cloudy","False","False","True","False","False","False","False","False","False","False","False","True","False","Night","Night","Night","Day"
"A-1815667","Source2",2,"2019-11-12 10:28:05","2019-11-12 12:12:52",33.46582,-111.908867,NA,NA,0,"Accident on Hayden Rd at Mcdowell Rd.","N Hayden Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2019-11-12 10:51:00",75,75,26,28.91,10,"ENE",17,0,"Fair","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1831181","Source2",2,"2019-11-19 15:49:57","2019-11-19 16:19:41",33.473049,-111.917519,NA,NA,0,"Accident on Miller Rd at Oak St.","N Miller Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2019-11-19 15:51:00",59,59,78,28.6,8,"SE",12,0.02,"Light Rain","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-1855211","Source2",2,"2019-09-30 16:29:48","2019-09-30 17:44:34",33.465759,-111.900726,NA,NA,0,"Accident on Granite Reef Rd at Mcdowell Rd.","E McDowell Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2019-09-30 16:51:00",90,90,19,28.5,10,"VAR",3,0,"Fair","False","False","False","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1884414","Source2",2,"2019-09-27 17:02:25","2019-09-27 18:17:06",33.458481,-111.926353,NA,NA,0,"Accident on Roosevelt St at Scottsdale Rd.","E Continental Dr","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2019-09-27 16:51:00",85,85,41,28.55,10,"NNW",7,0,"Partly Cloudy","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1893100","Source2",2,"2019-09-04 06:53:29","2019-09-04 07:38:15",33.458549,-111.900574,NA,NA,0,"Accident on Granite Reef Rd at Roosevelt St.","E Roosevelt St","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2019-09-04 06:51:00",88,88,46,28.62,10,"E",7,0,"Fair","False","False","True","False","False","False","False","False","False","True","False","True","False","Day","Day","Day","Day"
"A-1895582","Source2",2,"2019-09-05 17:42:04","2019-09-05 19:26:40",33.465801,-111.917526,NA,NA,0,"Accident on Mcdowell Rd at Miller Rd.","N Miller Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2019-09-05 17:51:00",108,108,12,28.63,10,"S",5,0,"Partly Cloudy","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1899511","Source2",2,"2019-09-08 19:46:38","2019-09-08 20:16:00",33.465801,-111.917526,NA,NA,0,"Accident on Mcdowell Rd at Miller Rd.","N Miller Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2019-09-08 19:51:00",96,96,30,28.5,10,"W",14,0,"Fair","False","False","True","False","False","False","False","False","False","False","False","True","False","Night","Night","Night","Day"
"A-1906879","Source2",2,"2019-09-11 12:47:35","2019-09-11 14:02:20",33.480389,-111.913254,NA,NA,0,"Accident on 78th St at Thomas Rd.","N 78th St","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2019-09-11 12:51:00",92,92,37,28.75,10,"VAR",6,0,"Mostly Cloudy","False","False","True","False","False","False","False","False","False","True","False","False","False","Day","Day","Day","Day"
"A-1934122","Source2",2,"2019-08-26 14:48:05","2019-08-26 15:47:52",33.46582,-111.908867,NA,NA,0,"Accident on Hayden Rd at Mcdowell Rd.","N Hayden Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2019-08-26 14:51:00",104,104,25,28.59,10,"SW",14,0,"Mostly Cloudy","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1948254","Source2",2,"2019-07-02 19:22:05","2019-07-02 20:12:03",33.46582,-111.908867,NA,NA,0,"Accident on Hayden Rd at Mcdowell Rd.","N Hayden Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","",NA,NA,NA,NA,NA,"",NA,NA,"","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1953356","Source2",2,"2019-07-05 11:25:07","2019-07-05 12:22:53",33.46582,-111.908867,NA,NA,0,"Accident on Hayden Rd at Mcdowell Rd.","N Hayden Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","",NA,NA,NA,NA,NA,"",NA,NA,"","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1953362","Source2",2,"2019-07-05 12:15:31","2019-07-05 12:45:10",33.46582,-111.908867,NA,NA,0,"Accident on Hayden Rd at Mcdowell Rd.","N Hayden Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","",NA,NA,NA,NA,NA,"",NA,NA,"","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-1990370","Source2",2,"2019-07-26 19:46:08","2019-07-26 20:15:56",33.465744,-111.926224,NA,NA,0,"Accident on Scottsdale Rd at Mcdowell Rd.","N Scottsdale Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","",NA,NA,NA,NA,NA,"",NA,NA,"","False","False","True","False","False","False","False","False","False","False","False","True","False","Night","Day","Day","Day"
"A-2000101","Source2",2,"2019-08-01 15:15:17","2019-08-01 17:39:47",33.465801,-111.891922,NA,NA,0,"Accident on Mcdowell Rd at Pima Rd.","N Pima Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2019-08-01 14:59:00",103,103,27,28.7,10,"ESE",6,0,"Fair","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-2002346","Source2",2,"2019-08-02 11:27:06","2019-08-02 14:15:37",33.480209,-111.943192,NA,NA,0,"Lane blocked due to accident on 64th St Southbound from Thomas Rd.","E Thomas Rd","Scottsdale","Maricopa","AZ","85257","US","US/Mountain","KPHX","2019-08-02 11:51:00",102,102,27,28.69,10,"S",5,0,"Partly Cloudy","False","False","True","False","False","False","False","False","True","False","False","True","False","Day","Day","Day","Day"
